Timestamp	Normalizacao	PCA	Treino%	Classificador	k	Distancia	Acc_Val	Acc_Test	Precision_Test	Recall_Test	F1_Test	Tempo_Treino_s	Tempo_Pred_s	Tempo_Total_s
20250608_162802	padrao	10	0.6	knn	1	euclidean	0.890	0.892	0.892	0.892	0.892	0.048271	1.711566	1.779325
20250608_162805	padrao	10	0.6	knn	1	manhattan	0.884	0.887	0.887	0.887	0.887	0.047955	3.132152	3.199708
20250608_162807	padrao	10	0.6	knn	1	chebyshev	0.878	0.883	0.883	0.883	0.883	0.048123	1.324111	1.392203
20250608_162809	padrao	10	0.6	knn	3	euclidean	0.903	0.903	0.903	0.903	0.903	0.048903	2.114734	2.183275
20250608_162813	padrao	10	0.6	knn	3	manhattan	0.898	0.899	0.899	0.899	0.899	0.047607	4.095556	4.162385
20250608_162815	padrao	10	0.6	knn	3	chebyshev	0.893	0.898	0.898	0.898	0.897	0.047347	1.538730	1.605597
20250608_162817	padrao	10	0.6	knn	5	euclidean	0.907	0.907	0.907	0.907	0.907	0.047647	2.349574	2.418068
20250608_162822	padrao	10	0.6	knn	5	manhattan	0.904	0.904	0.905	0.904	0.904	0.050656	4.585254	4.656665
20250608_162823	padrao	10	0.6	knn	5	chebyshev	0.900	0.901	0.901	0.901	0.901	0.048004	1.657872	1.725607
20250608_162826	padrao	10	0.6	knn	7	euclidean	0.908	0.908	0.908	0.908	0.908	0.049085	2.523000	2.592037
20250608_162831	padrao	10	0.6	knn	7	manhattan	0.905	0.905	0.905	0.905	0.905	0.048846	4.872131	4.941194
20250608_162833	padrao	10	0.6	knn	7	chebyshev	0.903	0.900	0.901	0.900	0.900	0.048194	1.765499	1.833674
20250608_162836	padrao	10	0.6	log			0.799	0.800	0.800	0.800	0.800	3.093429	0.002216	3.116180
20250608_162839	padrao	10	0.6	log			0.799	0.800	0.800	0.800	0.800	3.045309	0.002347	3.067529
20250608_162842	padrao	10	0.6	log			0.799	0.800	0.800	0.800	0.800	3.115670	0.002110	3.138630
20250608_162845	padrao	10	0.6	log			0.799	0.800	0.800	0.800	0.800	3.085415	0.004782	3.110735
20250608_162848	padrao	10	0.6	log			0.799	0.800	0.800	0.800	0.800	3.215275	0.002316	3.237223
20250608_162852	padrao	10	0.6	log			0.799	0.800	0.800	0.800	0.800	3.085134	0.002142	3.107397
20250608_162855	padrao	10	0.6	log			0.799	0.800	0.800	0.800	0.800	3.176722	0.002031	3.198727
20250608_162858	padrao	10	0.6	log			0.799	0.800	0.800	0.800	0.800	3.074196	0.002417	3.097510
20250608_162901	padrao	10	0.6	log			0.799	0.800	0.800	0.800	0.800	3.134895	0.002097	3.157438
20250608_162904	padrao	10	0.6	log			0.799	0.800	0.800	0.800	0.800	3.376934	0.002115	3.399821
20250608_162908	padrao	10	0.6	log			0.799	0.800	0.800	0.800	0.800	3.296479	0.002173	3.321032
20250608_162911	padrao	10	0.6	log			0.799	0.800	0.800	0.800	0.800	3.326585	0.002133	3.350772
20250608_162912	padrao	10	0.9	knn	1	euclidean	0.895	0.895	0.894	0.895	0.894	0.081234	0.445362	0.539402
20250608_162913	padrao	10	0.9	knn	1	manhattan	0.890	0.889	0.889	0.889	0.889	0.080357	0.923662	1.016811
20250608_162913	padrao	10	0.9	knn	1	chebyshev	0.885	0.889	0.888	0.889	0.888	0.080643	0.366739	0.459572
20250608_162914	padrao	10	0.9	knn	3	euclidean	0.906	0.910	0.910	0.910	0.909	0.083244	0.550292	0.646144
